Gene	Bc	Ac	Cc	Ai	Bi	Ci
TPRE003874	889	1098	1251	938	968	1129
TPRE003875	76	38	99	47	87	110
TPRE003876	1354	1421	1850	1315	1474	2118
TPRE003877	920	950	797	688	790	929
TPRE003878	3746	4203	4120	3196	3406	4850
TPRE003879	2340	2351	2849	2029	2358	3215
TPRE003880	2234	2217	2555	1881	2100	2677
TPRE003881	2115	2026	2479	1823	1921	2803
TPRE003882	1570	1781	1543	1081	1500	1877
TPRE003883	202	216	293	247	224	304
TPRE003884	2482	3024	3205	2438	2803	3558
TPRE003885	2488	2805	2805	2349	2495	2848
TPRE003886	1400	1526	1531	1164	1494	1690
TPRE003887	43	14	18	39	25	29
TPRE003888	792	504	666	495	465	599
TPRE003889	1313	1677	1591	1197	1545	1633
TPRE003890	845	806	1166	942	1101	973
TPRE003891	2291	2277	3220	2487	2803	3019
TPRE003892	3312	4420	5932	3824	4364	5110
TPRE003893	2911	3956	4506	3117	3974	4439
TPRE003894	2937	2732	2399	2005	2082	2862
TPRE003895	458	465	632	543	519	727
TPRE003896	359	478	747	578	482	849
TPRE003897	873	917	1010	831	836	1154
TPRE003898	0	2	2	0	0	8
TPRE003899	751	716	817	665	880	1055
TPRE003900	0	0	3	0	0	0
TPRE003901	605	821	1206	798	989	1109
TPRE003902	0	3	3	2	0	6
TPRE003903	29	19	50	19	48	50
TPRE003904	532	313	620	559	623	786
TPRE003905	360	73	198	255	341	376
TPRE003906	3697	4351	4897	3490	4162	4561
TPRE003907	551	285	518	300	415	479
TPRE003908	471	638	626	515	639	634
TPRE003909	3444	2034	2287	1923	2238	2345
TPRE003910	1160	1252	1069	750	945	1027
TPRE003911	514	815	951	613	801	883
TPRE003912	124	137	208	120	129	197
TPRE003913	56	84	84	84	98	87
TPRE003914	2460	1353	1599	1204	1388	1498
TPRE003915	461	603	494	391	456	697
TPRE003916	2837	3604	4417	3389	3794	4410
TPRE003917	82	71	129	82	95	150
TPRE003918	10	2	0	5	18	10
TPRE003919	4	1	1	5	4	4
TPRE003920	0	2	3	1	3	3
TPRE003921	10	0	0	6	2	10
TPRE003922	0	0	0	0	0	0
TPRE003923	106	134	207	122	115	195
TPRE003924	2754	2490	3287	2157	2434	3200
TPRE003925	1354	1415	1695	1346	1372	1581
TPRE003926	390	392	450	326	452	531
TPRE003927	434	490	548	487	475	598
TPRE003928	607	600	605	493	532	707
TPRE003929	328	403	561	442	452	579
TPRE003930	2	1	2	2	0	0
TPRE003931	3	18	9	24	13	18
TPRE003932	1110	980	1596	1137	1278	1465
TPRE003933	1381	1429	1780	2021	2252	2682
TPRE003934	20	17	26	11	12	17
TPRE003935	0	3	1	7	0	2
TPRE003936	945	281	613	769	531	992
TPRE003937	8	2	22	0	41	21
TPRE003938	26	34	77	37	55	106
TPRE003939	6	5	0	11	10	10
TPRE003940	475	812	1300	689	995	860
TPRE003941	329	457	534	438	474	652
TPRE003942	641	850	1217	1306	1400	2366
TPRE003943	3304	3854	5551	4258	4432	6038
TPRE003944	411	554	502	334	393	454
TPRE003945	493	585	481	374	490	515
TPRE003946	1504	1890	1810	1315	1479	1788
TPRE003947	1483	1694	2775	2004	2276	2838
TPRE003948	3163	3183	3497	2926	2971	3767
TPRE003949	9586	12361	18027	12583	13754	18920
TPRE003950	8122	4538	6555	6076	6306	8446
TPRE003951	21525	31477	33818	26785	30803	34457
TPRE003952	1897	2674	3034	2120	2517	2781
TPRE003953	3750	1950	3158	2423	2819	3564
TPRE003954	0	0	0	0	1	3
TPRE003955	1	1	0	0	0	0
TPRE003956	0	1	0	0	0	0
TPRE003957	0	0	0	0	0	5
TPRE003958	17	9	4	6	10	20
TPRE003959	952	1373	1503	986	1000	1638
TPRE003960	0	0	2	5	3	12
TPRE003961	1936	2947	3435	2394	2736	3119
TPRE003962	2437	2783	3689	2634	2881	3723
TPRE003963	1519	1794	2713	2007	2045	3013
TPRE003964	742	979	1539	1141	1105	1778
TPRE003965	2363	2085	2148	1840	2029	2454
TPRE003966	21451	31857	35268	21629	26433	25424
TPRE003967	58	79	155	82	137	145
TPRE003968	6569	2582	4679	3399	3975	4313
TPRE003969	1475	1943	2502	1890	2135	2681
TPRE003970	4983	2144	4100	2839	2603	5198
TPRE003971	6651	7296	9387	6383	7184	8470
TPRE003972	3806	2659	3477	3027	3347	4296
TPRE003973	290	413	479	317	432	371
TPRE003974	306	144	231	200	217	290
TPRE003975	45	21	25	21	20	35
TPRE003976	12	2	7	7	13	9
TPRE003977	0	0	0	0	0	0
TPRE003978	476	565	819	565	581	802
TPRE003979	2577	3283	2811	2285	2417	3002
TPRE003980	142	55	111	59	88	162
TPRE003981	4180	5124	8358	5497	6168	8426
TPRE003982	3551	4111	5879	4384	4438	6400
TPRE003983	6167	9285	12672	8755	10455	10860
TPRE003984	195	280	261	241	264	332
TPRE003985	977	1237	1304	851	1121	1133
TPRE003986	1303	1692	1641	1571	1477	1860
TPRE003987	578	646	766	491	726	765
TPRE003988	263	244	266	171	199	235
TPRE003989	1072	1424	1350	1046	1353	1339
TPRE003990	1589	849	1190	1064	1090	1588
TPRE003991	1832	1122	1565	1245	1365	2198
TPRE003992	1641	2371	2881	1827	2347	2402
TPRE003993	883	613	929	725	583	1195
TPRE003994	8	11	10	13	14	11
TPRE003995	5071	7678	8832	6381	7442	7999
TPRE003996	58	63	90	53	49	95
TPRE003997	1090	953	1226	958	1037	1131
TPRE003998	114	111	207	167	186	301
TPRE003999	1860	1234	2048	969	1154	1544
TPRE004000	660	698	1216	1249	1435	1507
TPRE004001	703	553	753	755	773	954
TPRE004002	352	354	650	418	522	607
TPRE004003	83	4	20	48	12	272
TPRE004004	166	52	108	77	76	139
TPRE004005	537	271	394	353	289	557
TPRE004006	93	40	53	50	59	63
TPRE004007	4	1	0	0	4	2
TPRE004008	645	584	1079	686	730	994
TPRE004009	0	0	0	0	0	0
TPRE004010	3723	5716	6965	4432	5128	5789
TPRE004011	256	358	394	306	423	417
TPRE004012	3	8	15	7	27	11
TPRE004013	201	131	221	169	235	195
TPRE004014	154	128	205	191	166	174
TPRE004015	0	0	0	0	0	0
TPRE004016	2047	3762	4684	3276	3583	3837
TPRE004017	44	16	54	42	40	56
TPRE004018	478	530	575	555	547	589
TPRE004019	587	610	777	615	671	921
TPRE004020	187	327	409	324	308	248
TPRE004021	796	1597	2135	1169	1547	1434
TPRE004022	3063	4232	5003	3762	3877	4417
TPRE004023	256	276	280	249	330	306
TPRE004024	656	688	661	597	687	803
TPRE004025	6748	10126	10513	6746	7893	8822
TPRE004026	9	3	14	7	3	11
TPRE004027	896	869	938	794	864	1195
TPRE004028	3973	4676	3479	2385	3044	3819
TPRE004029	3373	4214	3259	2106	2620	3555
TPRE004030	3698	5461	5340	3368	3816	4845
TPRE004031	2159	1406	1565	1240	894	2397
TPRE004032	257	353	507	381	316	558
TPRE004033	72	86	96	65	84	104
TPRE004034	0	0	0	0	0	0
TPRE004035	42	10	36	31	26	56
TPRE004036	3578	4016	4057	3457	3523	4679
TPRE004037	2058	1128	1764	1565	2178	2148
TPRE004038	1102	1141	1101	930	1177	1358
TPRE004039	5115	5630	4982	4043	4943	5960
TPRE004040	194	113	131	161	122	226
TPRE004041	393	138	250	199	161	420
TPRE004042	2168	2810	2509	1846	2172	2461
TPRE004043	1938	2235	2088	1453	1715	1999
TPRE004044	172	245	277	204	264	310
TPRE004045	604	555	474	382	387	509
TPRE004046	1278	1301	1401	1241	1332	1567
TPRE004047	3419	4721	5775	3991	4616	5376
TPRE004048	8453	9480	8752	6223	7203	9763
TPRE004049	1025	1016	833	697	802	1059
TPRE004050	941	1144	1285	947	1046	1291
TPRE004051	6742	5153	8519	5940	6485	9080
TPRE004052	12384	9268	15746	12512	11960	17728
TPRE004053	144	4	4	7	4	14
TPRE004054	85	107	132	132	114	202
TPRE004055	7	16	21	20	14	26
TPRE004056	220	159	187	160	187	184
TPRE004057	695	950	1524	1014	1197	1477
TPRE004058	1418	1887	3315	2296	2737	3194
TPRE004059	17459	23664	28241	20161	22479	26819
TPRE004060	933	1037	1094	925	952	1221
TPRE004061	589	628	711	714	685	953
TPRE004062	331	437	653	466	453	695
TPRE004063	78	117	204	134	147	239
TPRE004064	0	0	0	0	0	1
TPRE004065	19	32	50	31	49	38
TPRE004066	3005	5521	6843	4562	5938	6325
TPRE004067	713	938	1133	833	922	991
TPRE004068	30	39	74	62	75	53
TPRE004069	0	2	12	3	15	13
TPRE004070	0	0	0	0	0	0
TPRE004071	13	34	30	29	41	30
TPRE004072	346	471	599	383	428	541
TPRE004073	2436	2006	2569	2172	2256	3616
TPRE004074	37	30	70	45	52	61
TPRE004075	72522	104778	140936	96473	101223	141699
TPRE004076	6618	6484	11789	8079	9526	9795
TPRE004077	863	954	945	716	928	1062
TPRE004078	472	617	697	510	565	716
TPRE004079	360	430	562	395	470	540
TPRE004080	1328	1653	1958	1362	1701	1937
TPRE004081	4969	5981	5673	4102	4971	5153
TPRE004082	256	402	595	372	390	482
TPRE004083	0	0	0	0	0	0
TPRE004084	0	0	0	0	0	0
TPRE004085	4875	8092	10264	6024	7221	8511
TPRE004086	15	7	14	15	8	18
TPRE004087	708	814	985	776	789	912
TPRE004088	3890	5267	8371	5236	6355	7816
TPRE004089	1040	1115	1603	1145	1427	1606
TPRE004090	2167	3480	3766	2635	3244	3469
TPRE004091	1375	1311	1778	1348	1458	1829
TPRE004092	1521	1721	1740	1189	1291	1648
TPRE004093	1992	1707	1850	1026	1288	1102
TPRE004094	80	63	69	421	535	447
TPRE004095	3898	5676	6847	4871	5611	6272
TPRE004096	738	1119	1275	851	846	1280
TPRE004097	679	691	951	678	649	969
TPRE004098	488	548	551	495	416	584
TPRE004099	286	234	324	249	238	329
TPRE004100	2295	1879	3090	2491	2707	3344
TPRE004101	470	845	990	638	674	740
TPRE004102	11	20	25	17	9	53
TPRE004103	2126	2764	4566	2716	2906	3836
TPRE004104	10582	10210	12682	11314	11608	15158
TPRE004105	4001	4642	6367	4529	5125	5902
TPRE004106	7396	7896	9665	6958	7517	10500
TPRE004107	935	958	856	653	832	1011
TPRE004108	340	234	283	228	297	395
TPRE004109	1297	1567	2199	1392	1485	1952
TPRE004110	26	26	20	33	33	40
TPRE004111	87	128	143	128	120	171
TPRE004112	2847	3829	4203	2668	3651	3698
TPRE004113	6796	10017	10288	6469	7699	8254
TPRE004114	1995	3169	3759	2804	2841	3628
TPRE004115	574	419	833	406	526	622
TPRE004116	2291	2174	3923	2462	1896	4300
TPRE004117	203	182	179	141	73	158
TPRE004118	2067	2330	3026	2182	2406	2903
TPRE004119	1119	1524	1856	1379	1617	1747
TPRE004120	113	124	146	94	81	180
TPRE004121	2086	1367	1830	1509	1213	2301
TPRE004122	3552	4109	4595	3190	3485	4434
TPRE004123	22752	11405	14372	12926	11850	18101
TPRE004124	285	420	351	421	511	602
TPRE004125	0	0	0	0	0	0
TPRE004126	1489	1829	2027	1406	1519	2063
TPRE004127	918	1057	1554	1144	1212	1790
TPRE004128	10664	9731	12372	9908	10442	12769
TPRE004129	9	7	8	21	9	26
TPRE004130	1007	1391	1499	1187	1248	1481
TPRE004131	974	1340	1699	994	1139	1605
TPRE004132	302	313	465	380	429	482
TPRE004133	126	62	55	48	39	66
TPRE004134	5	9	12	4	6	7
TPRE004135	3	6	28	4	18	8
TPRE004136	2682	2986	2386	1637	1785	2475
TPRE004137	0	0	0	0	0	0
TPRE004138	274	184	324	172	217	301
TPRE004139	215	168	253	171	258	235
TPRE004140	1940	1389	1927	1481	1735	2166
TPRE004141	550	817	1022	550	709	640
TPRE004142	1096	1537	1556	1145	1116	1325
TPRE004143	1684	1898	2329	1671	2022	2433
TPRE004144	0	0	0	0	1	1
TPRE004145	1964	2966	4670	2597	3368	3714
TPRE004146	623	900	1350	944	964	1246
TPRE004147	1690	2352	2859	2047	2465	2732
TPRE004148	250	243	283	270	252	363
TPRE004149	1549	1403	2006	1871	2157	2165
TPRE004150	299	435	556	332	366	415
TPRE004151	14	7	18	0	2	14
TPRE004152	28	18	10	13	5	20
TPRE004153	1988	2359	3938	2648	3042	3834
TPRE004154	4007	5077	7017	5537	5382	8244
TPRE004155	970	944	1269	948	1049	1298
TPRE004156	665	771	852	615	864	842
TPRE004157	14618	13244	19318	13941	15665	18236
TPRE004158	990	1052	1530	1083	1244	1606
TPRE004159	467	369	713	567	597	764
TPRE004160	918	1386	1858	1317	1404	1651
TPRE004161	618	664	850	657	857	978
TPRE004162	961	1571	1615	1223	1494	1616
TPRE004163	945	1090	1076	739	921	978
TPRE004164	43	93	76	127	117	107
TPRE004165	577	719	868	771	821	921
TPRE004166	185	278	362	257	289	314
TPRE004167	421	531	720	481	515	588
TPRE004168	69	109	89	112	78	134
TPRE004169	1287	2000	2325	1522	1743	1977
TPRE004170	338	198	305	439	222	962
TPRE004171	3320	4120	4058	2822	3270	4116
TPRE004172	4897	5532	6507	5447	5595	6910
TPRE004173	2179	1650	2025	1672	1702	2384
TPRE004174	4	0	2	0	0	0
TPRE004175	96	85	151	96	101	134
TPRE004176	1	0	0	1	0	6
TPRE004177	4	2	0	4	3	11
TPRE004178	9	13	4	5	16	10
TPRE004179	0	0	0	0	0	0
TPRE004180	0	0	0	0	0	0
TPRE004181	0	0	0	0	0	0
TPRE004182	0	0	0	0	0	0
TPRE004183	0	3	0	0	0	0
TPRE004184	0	0	0	0	0	0
TPRE004185	804	702	1175	785	705	1277
TPRE004186	986	1320	1475	1205	1402	1496
TPRE004187	175	183	214	218	217	262
TPRE004188	1238	1754	2035	1499	1668	2064
TPRE004189	348	499	587	463	506	550
TPRE004190	1667	2166	2811	2098	2259	3127
TPRE004191	2561	2415	3080	2529	2368	4075
TPRE004192	134	144	269	160	239	272
TPRE004193	23	8	39	21	25	52
TPRE004194	0	0	0	0	0	0
TPRE004195	357	450	512	358	466	548
TPRE004196	26	49	43	51	42	62
TPRE004197	230	227	259	233	231	351
TPRE004198	5185	3163	4389	4012	3691	6665
TPRE004199	7145	5186	6892	5577	5179	8495
TPRE004200	1013	1285	1462	1140	1266	1465
TPRE004201	495	661	829	671	686	903
TPRE004202	953	483	949	731	820	1094
TPRE004203	307	261	255	230	248	310
TPRE004204	91	137	196	138	130	181
TPRE004205	3061	4776	5749	4003	4633	5400
TPRE004206	8142	3302	3608	3643	3460	4469
TPRE004207	1539	1309	1830	1680	1459	2232
TPRE004208	3947	6436	9124	6295	7051	7775
TPRE004209	13850	13855	14095	10516	11792	15534
TPRE004210	997	1245	1445	1168	1294	1716
TPRE004211	210	257	307	182	193	289
TPRE004212	964	1277	1300	1056	1245	1297
TPRE004213	1	6	3	4	6	4
TPRE004214	1	4	5	0	0	5
TPRE004215	146	54	82	33	27	65
TPRE004216	0	0	0	1	0	0
TPRE004217	696	259	464	404	363	482
TPRE004218	1679	1654	1953	1648	1678	2162
TPRE004219	330	517	556	280	357	430
TPRE004220	2444	2551	2420	1834	2127	2548
TPRE004221	43	46	52	57	53	77
TPRE004222	741	948	1222	879	1051	1119
TPRE004223	15	20	27	9	15	32
TPRE004224	9	4	5	1	1	3
TPRE004225	704	577	835	693	699	975
TPRE004226	89	109	118	137	141	168
TPRE004227	8428	6050	9583	8154	7116	13694
TPRE004228	218	185	301	263	266	277
TPRE004229	1521	1831	2160	1866	1741	2341
TPRE004230	4	1	2	5	4	1
TPRE004231	4	0	0	7	4	6
TPRE004232	2227	3440	4085	2447	3114	3513
TPRE004233	11169	15317	19123	13099	15408	17449
TPRE004234	3081	3048	3321	2884	3084	4087
TPRE004235	248	250	378	275	339	401
TPRE004236	889	1210	1548	966	1141	1431
TPRE004237	3744	5589	7382	5087	5693	6864
TPRE004238	1673	1474	1795	1479	1564	1957
TPRE004239	1863	2613	2582	1846	2168	2600
TPRE004240	3096	4624	5914	4202	4717	5391
TPRE004241	739	672	745	612	634	714
TPRE004242	1421	1460	1683	1328	1405	1594
TPRE004243	12	1	12	7	8	5
TPRE004244	5091	5601	7494	5248	6023	7378
TPRE004245	1850	2013	2203	1611	1966	2254
TPRE004246	141	188	239	223	258	233
TPRE004247	5579	6185	7803	6408	6310	8810
TPRE004248	2632	3513	3745	3123	3265	4319
TPRE004249	292	116	193	179	156	273
TPRE004250	246	161	223	190	154	273
TPRE004251	280	361	376	238	310	418
TPRE004252	588	925	953	613	857	883
TPRE004253	33	52	92	53	41	64
TPRE004254	2953	2967	3849	2855	3153	4162
TPRE004255	770	752	724	720	719	926
TPRE004256	245	307	282	239	235	354
TPRE004257	1371	1718	1733	1188	1502	1835
TPRE004258	531	339	473	406	393	498
TPRE004259	1307	1483	1654	1322	1496	1744
TPRE004260	776	1356	1675	1277	1595	1619
TPRE004261	5709	5242	6503	3460	3795	3749
TPRE004262	51169	60209	74907	32151	56474	39455
TPRE004263	22234	22838	29182	17543	21627	20565
TPRE004264	110	101	85	62	92	79
TPRE004265	828	1418	1607	959	1257	1286
TPRE004266	31854	17656	24639	19388	18920	37447
TPRE004267	2	0	1	0	0	0
TPRE004268	792	917	1412	959	1022	1309
TPRE004269	1112	1153	1708	1233	1434	1678
TPRE004270	0	0	2	0	0	0
TPRE004271	0	0	0	0	0	0
TPRE004272	0	0	0	0	0	0
TPRE004273	0	0	0	0	0	0
TPRE004274	41	16	10	20	13	11
TPRE004275	0	0	2	1	0	0
TPRE004276	127	187	204	103	143	176
TPRE004277	737	1111	1458	1191	1152	1761
TPRE004278	1969	2427	2845	1971	2290	2619
TPRE004279	12	13	30	18	18	35
TPRE004280	1279	1707	1985	1540	1416	2138
TPRE004281	753	755	601	585	626	835
TPRE004282	3127	3430	3138	2288	2672	3412
TPRE004283	1756	1958	2040	1668	2055	2178
TPRE004284	485	576	830	735	544	1195
TPRE004285	32	39	44	30	41	56
TPRE004286	4	4	6	8	5	10
TPRE004287	3	8	9	11	6	5
TPRE004288	1103	2011	2585	1701	2025	2272
TPRE004289	16	30	37	11	21	33
TPRE004290	23	1	15	16	12	29
TPRE004291	0	0	0	0	0	0
TPRE004292	0	0	2	0	0	0
TPRE004293	1693	1931	1924	1588	1771	2042
TPRE004294	15252	22033	25744	17471	20458	22475
TPRE004295	1144	750	1016	933	1068	1419
TPRE004296	872	1116	1226	809	932	1036
TPRE004297	819	1318	1319	920	1109	1309
TPRE004298	2094	2598	3201	2295	2594	3091
TPRE004299	266	544	732	357	458	456
TPRE004300	271	520	573	455	496	531
TPRE004301	430	557	763	629	677	771
TPRE004302	200	203	239	224	243	247
TPRE004303	260	246	331	213	263	274
TPRE004304	22093	15115	24939	12773	20062	17277
TPRE004305	41	85	86	47	68	64
TPRE004306	27	16	25	11	13	37
TPRE004307	302	279	465	382	340	469
TPRE004308	54	30	22	30	31	35
TPRE004309	342	483	481	344	424	435
TPRE004310	1206	1736	2137	1684	1955	1953
TPRE004311	7	11	10	13	16	11
TPRE004312	723	593	516	531	777	840
TPRE004313	4083	4866	5107	3952	4413	5223
TPRE004314	1553	2094	2657	1967	2203	2418
TPRE004315	409	451	413	381	415	445
TPRE004316	1217	1121	1179	1127	1081	1657
TPRE004317	1217	1565	1690	1182	1510	1985
TPRE004318	432	506	706	503	653	673
TPRE004319	1970	3822	5575	3564	4214	4463
TPRE004320	2309	2247	2273	1986	1980	2749
TPRE004321	1855	2008	1725	1264	1615	1902
TPRE004322	87	104	135	85	89	154
TPRE004323	1220	1733	1927	1049	1254	1586
TPRE004324	1315	1654	1583	1229	1322	1654
TPRE004325	5972	5882	7048	6065	6069	8146
TPRE004326	1168	2243	2608	1482	1897	2004
TPRE004327	0	0	0	0	0	0
TPRE004328	42	27	64	33	33	48
TPRE004329	32	19	28	23	25	30
TPRE004330	4	1	5	1	3	1
TPRE004331	0	0	0	0	0	0
TPRE004332	462	684	791	663	708	799
TPRE004333	3585	5178	4802	3043	3435	4519
TPRE004334	14	33	55	46	61	48
TPRE004335	1947	2164	1949	1329	1824	2008
TPRE004336	5740	6030	7588	5193	5586	7927
TPRE004337	421	499	841	619	615	895
TPRE004338	15093	19298	16795	12560	13616	17037
TPRE004339	454	508	561	539	533	674
TPRE004340	13800	11577	15676	11780	11332	16959
TPRE004341	74	59	95	75	93	153
TPRE004342	0	4	0	0	0	2
TPRE004343	0	4	9	14	16	13
TPRE004344	723	714	1142	1013	1084	1215
TPRE004345	6	5	7	1	3	8
TPRE004346	718	806	1039	862	873	1114
TPRE004347	14603	11330	18534	12161	17501	16898
TPRE004348	1118	1174	1201	845	1021	1273
TPRE004349	871	1220	1131	880	1128	1223
TPRE004350	88	58	93	93	70	75
TPRE004351	786	948	950	780	998	1128
TPRE004352	4854	4970	7209	4845	5382	6996
TPRE004353	3114	3868	4518	3046	3193	3827
TPRE004354	1429	1828	2251	1623	1944	2306
TPRE004355	56	42	73	39	59	45
TPRE004356	2461	3316	4073	2789	3011	4208
TPRE004357	1029	873	824	741	794	1179
TPRE004358	0	4	0	0	0	0
TPRE004359	236	300	447	295	249	424
TPRE004360	340	544	540	470	543	621
TPRE004361	4732	6248	8199	5537	5381	8399
TPRE004362	5151	8102	8356	5643	6905	7483
TPRE004363	1831	1535	2149	1978	2138	2723
TPRE004364	676	901	1118	837	1063	1078
TPRE004365	1	0	5	6	1	3
TPRE004366	201	252	369	288	322	341
TPRE004367	148	220	227	128	188	190
TPRE004368	2069	2946	2844	1805	2718	3009
TPRE004369	1	0	1	0	2	0
TPRE004370	426	703	582	532	477	659
TPRE004371	41	23	44	52	55	64
TPRE004372	166	379	261	187	165	278
TPRE004373	4	1	0	2	6	2
TPRE004374	1348	2122	2574	1418	1764	1977
TPRE004375	57	21	47	52	43	68
TPRE004376	0	2	2	2	4	0
TPRE004377	6	31	20	11	10	4
TPRE004378	169	221	293	246	258	407
TPRE004379	274	229	417	304	343	432
TPRE004380	173	115	188	138	149	141
TPRE004381	1205	1273	2185	1113	1277	1773
TPRE004382	892	876	993	654	772	899
TPRE004383	852	914	1280	891	942	1064
TPRE004384	1985	2220	2363	1582	1980	2440
TPRE004385	6	2	4	2	0	2
TPRE004386	7826	9481	12278	9741	9871	12617
TPRE004387	947	825	1080	740	915	1271
TPRE004388	343	475	430	331	330	477
TPRE004389	489	671	1212	856	939	1240
TPRE004390	361	356	314	307	320	375
TPRE004391	17	8	25	19	13	5
TPRE004392	52	25	58	44	70	73
TPRE004393	1128	1371	1438	1506	1434	2337
TPRE004394	0	6	8	10	3	8
TPRE004395	511	831	1243	936	1085	1304
TPRE004396	1506	1711	1418	1153	1463	1596
TPRE004397	2631	3345	3895	2779	3383	3614
TPRE004398	3039	2628	4245	3343	3538	4950
TPRE004399	2	0	0	0	0	0
TPRE004400	1096	1771	2583	1897	2130	2402
TPRE004401	72	145	248	147	172	223
TPRE004402	2055	3123	3783	2518	2614	3464
TPRE004403	744	930	1060	673	801	909
TPRE004404	1083	1197	1133	759	915	1199
TPRE004405	1103	1641	2307	1396	1662	1806
TPRE004406	1374	1790	2388	1716	1962	2176
TPRE004407	930	1612	2093	1146	1423	2021
TPRE004408	4	5	7	7	13	15
TPRE004409	3524	4687	6908	5068	5579	6785
TPRE004410	1311	1672	1691	1174	1385	1704
TPRE004411	507	536	486	276	433	454
TPRE004412	256	453	402	390	429	426
TPRE004413	2208	1973	3020	2414	2550	3471
TPRE004414	3	0	2	0	7	12
TPRE004415	338	392	363	354	364	523
TPRE004416	0	0	0	0	2	1
TPRE004417	20	34	25	10	30	29
TPRE004418	807	588	457	439	420	643
TPRE004419	563	832	852	648	700	876
TPRE004420	6524	9260	10096	7517	8539	9740
TPRE004421	9608	15667	23056	13642	16546	18569
TPRE004422	1429	1747	2036	2047	2477	2779
TPRE004423	2547	2337	3603	2518	2654	3761
TPRE004424	2830	3547	5223	3411	3738	5039
TPRE004425	1522	1982	2765	1734	2020	2351
TPRE004426	110	123	186	135	143	181
TPRE004427	2078	1422	1671	1279	1555	1713
TPRE004428	2080	3152	4543	2971	3232	3806
TPRE004429	998	1215	1856	1509	1596	2121
TPRE004430	2322	3257	3649	2683	3070	3620
TPRE004431	1459	2169	2902	1880	2282	2721
TPRE004432	2266	916	1506	1222	1223	1574
TPRE004433	1050	989	1535	1165	1185	1810
TPRE004434	1628	1892	2227	1441	1767	2060
TPRE004435	8143	9492	12618	8728	10223	13178
TPRE004436	1748	2146	2519	1823	2056	2411
TPRE004437	6302	7385	10770	7302	7631	9781
TPRE004438	452	401	515	478	501	612
TPRE004439	6047	3315	5054	5556	6479	6689
TPRE004440	1025	1291	1454	1075	1334	1556
TPRE004441	2111	2778	2900	2077	2207	2765
TPRE004442	6022	10825	12558	8283	9632	10727
TPRE004443	376	288	372	290	393	478
TPRE004444	1251	1661	2213	1474	1715	1887
TPRE004445	2337	3791	5494	3348	3973	4345
TPRE004446	500	605	770	641	717	777
TPRE004447	644	561	1032	856	1046	1309
TPRE004448	658	641	874	1099	1425	1165
TPRE004449	194	228	295	151	205	304
TPRE004450	259	303	490	350	364	448
TPRE004451	102	119	190	98	128	202
TPRE004452	1112	1439	1972	1270	1409	1885
TPRE004453	1641	2031	2499	1827	2061	2643
TPRE004454	258	327	465	319	394	429
TPRE004455	4	6	12	9	8	22
TPRE004456	247	286	482	307	369	450
TPRE004457	2376	2718	3538	2480	2745	3466
TPRE004458	888	950	1171	873	1094	1135
TPRE004459	347	408	419	376	431	602
TPRE004460	229	416	447	312	283	375
TPRE004461	758	947	1188	903	962	1180
TPRE004462	1609	697	1634	1071	1287	1625
TPRE004463	1227	1407	2095	1285	1477	1831
TPRE004464	402	477	670	524	570	625
TPRE004465	5195	6404	9452	7005	7238	10152
TPRE004466	1538	2077	3058	2511	2517	3779
TPRE004467	1047	1408	1948	1394	1555	1774
TPRE004468	128	194	308	164	177	200
TPRE004469	239	376	553	385	395	462
TPRE004470	2196	1841	2764	2259	2585	3108
TPRE004471	0	0	3	2	0	0
TPRE004472	1546	1526	2043	1636	1809	1994
TPRE004473	36	16	31	42	31	34
TPRE004474	62	38	114	77	80	104
TPRE004475	141	142	343	226	283	330
TPRE004476	99	83	144	110	152	184
TPRE004477	2967	3174	5389	4074	4565	5595
TPRE004478	2442	2408	3008	2489	2768	3674
TPRE004479	14200	19576	27059	24929	27922	30278
TPRE004480	263	255	332	271	257	359
TPRE004481	103	82	122	122	147	136
TPRE004482	606	730	896	856	907	1256
TPRE004483	13	1	25	5	13	13
TPRE004484	35	20	25	30	21	34
TPRE004485	703	855	898	825	840	1013
TPRE004486	20263	6098	18107	9688	12363	16963
TPRE004487	6564	4827	7789	5269	6478	6902
TPRE004488	2225	700	2051	1809	2095	2994
TPRE004489	1098	634	785	582	670	1040
TPRE004490	307	437	508	349	393	570
TPRE004491	2022	2147	2168	1752	2022	2336
TPRE004492	38	63	92	46	60	51
TPRE004493	0	3	0	3	4	2
TPRE004494	1130	1305	1770	1148	1192	1511
TPRE004495	2048	1815	2951	2047	2267	2841
TPRE004496	2425	2553	3343	2652	2767	3996
TPRE004497	1877	2509	3178	1997	2219	2791
TPRE004498	484	922	1283	691	759	850
TPRE004499	0	0	0	0	0	0
TPRE004500	729	987	945	785	910	1033
TPRE004501	2605	4059	5162	3524	3912	4192
TPRE004502	10601	6721	9291	7341	7044	10381
TPRE004503	16	11	11	14	11	9
TPRE004504	986	1092	1371	976	1060	1304
TPRE004505	1204	463	1017	896	1125	1189
TPRE004506	2111	3215	4058	2514	2938	3399
TPRE004507	8442	9631	9201	7066	7922	9257
TPRE004508	1050	1467	1832	1310	1421	1731
TPRE004509	376	269	362	342	278	526
TPRE004510	767	890	1495	1073	1081	1415
TPRE004511	760	959	1381	847	863	1327
TPRE004512	7	0	2	3	4	5
TPRE004513	445	187	371	281	309	408
TPRE004514	5116	5251	7520	5870	6696	7293
TPRE004515	30	10	23	10	6	28
TPRE004516	56	26	34	28	25	63
